ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32980691,1.224210630,Greek Super League 2,2024-02-04,10:00:00,Apollon Kalamaria FC,Kampaniakos,1.26,1.07,1.05,1.05,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32983301,1.224253752,Hungarian NB II,2024-02-04,10:00:00,Gyirmot,Soroksar,1.03,1.49,1.49,1.04,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32983300,1.224253863,Hungarian NB II,2024-02-04,10:00:00,Nyiregyhaza,Tiszakecske VSE,1.01,1.01,1.01,1.01,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32983299,1.224253979,Hungarian NB II,2024-02-04,10:00:00,Pecs MFC,Siofok,1.03,1.49,1.49,1.04,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32980752,1.224210090,Greek Super League 2,2024-02-04,10:00:00,Panachaiki,Ilioupoli,1.92,2.0,1.93,1.05,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32983297,1.224254076,Hungarian NB II,2024-02-04,10:00:00,BVSC Zuglo,Gyori,1.01,1.01,1.01,1.02,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32976599,1.224137873,Italian Serie C,2024-02-04,10:00:00,Pro Vercelli,Atalanta B,2.38,2.7,2.8,2.32,1.49,1.93,1.7,10.0,11.5,23.0,70.0,9.4,8.2,17.5,55.0,17.0,15.0,27.0,1.01,46.0,42.0,75.0,1.01,42.0,65.0
32983291,1.224254386,Hungarian NB II,2024-02-04,10:00:00,FC Ajka,Budafoki,1.49,1.57,1.5,1.05,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32977591,1.224159682,Italian Serie C,2024-02-04,10:00:00,Benevento,Brindisi,1.29,4.4,11.0,1.9,1.72,2.34,1.48,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,1.01
32976598,1.224137144,Spanish Segunda Division,2024-02-04,10:00:00,Racing de Ferrol,Eibar,3.1,2.98,2.62,2.2,1.61,1.89,1.8,10.5,9.8,18.5,46.0,12.0,8.0,15.0,40.0,24.0,17.0,25.0,70.0,65.0,50.0,75.0,180.0,55.0,40.0
